segment_id,seed,workload_class,request_id,prompt_sha256,input_ids_sha256
2,41,reasoning,24,4cf65b90e2682d70dc6c7c659c9762977e158ca53eefd49c9e9fe7ec42c5f359,6e14ced833b4279546c296e28463bd4cf3878cd09b8ebb4f8898e2ba50da0e79
2,41,reasoning,25,729b9af3158cb0f85f9ea8a85f98908c54b4e230ed657053579ee7d34628a60b,40359571ee6ce5fc06f42a80aec4a97ba5c05908bdc042d4ba3dcb394343acf5
2,41,reasoning,26,2b194033b9f53857240ba9737b6f150fcb1f633d98475ed7e34c70fd52662f3c,e0c08e06b02ce3a8f501ce81e7dc25886398a05631dc6532b8f1c425f430917d
2,41,reasoning,27,668e9b9a63c1744880e56f1647073278304df312e48140ec9ca677317a7eec77,ce58f098f51b1fe836a76feb0d438b9db66d52104f3e23008207bd7658ba2acf
2,41,reasoning,28,068434fe566d4460e46b422f7445d644a96325ddf68ddbd25f7c2968137fbd89,caedd911c19b9f8ee3f4e407724c0fec337c78e700d2a8c7a8942ed710a203ca
2,41,reasoning,29,00829a03c6f76d3571795700de85c69f6584dc446ac0db44a214a5e2e8e698e2,5309d6de0c9b147ad4f2c7ae71a21f450e7082d5ebd92d3746c33a7f6b1db227
2,41,reasoning,30,072bfc769f90126bd40e7c40c33d3a7ab0ed81c59256d3ee2daa54a3b40b07ee,f6621219756ad9a5856bedcbb9372668bafc54a355958837409a12fe00ace0e4
2,41,reasoning,31,774a168bcfed646f0e71406e72fd373622f919ead355d45af0a01c2c59eeca53,25fc138a6e7598e10b43f8ad3232ac0296c0cb866b8b26c6d37f269ddb9b4291
3,17,code,0,0c7e47bbe83a59e71b1edf6f6e68969f41baf5779902588cc6f5f3b24f7c78cf,596f7b59e5e39b81015290cbd61d340a567ca7c7fb08ab1d493cfb58806c0895
3,17,code,1,eafd37a2be605b8954c00350dc89e1d2616e8a563e8ca4a522029500f622ae09,b37e83ca56b5f98658a42263769022ee59a4bd1dec97bb815da9b595eeeb690c
3,17,code,2,f09915a5d12eb565cbf3b3307fc6adfb16ad391a171db8e788c95383f62c3188,2a7df2e35cb7660f6632fe12934f2f23cd9ca9e1ebd938553a6878dcb5dfefcf
3,17,code,3,e3054388717590ce9509091847fd96de6d7d20ac2b5311496a35bfe51a0961f3,455bf6f4029a5c269bf21cc3fce025921592a9335a5386bf9f9ad4d4e22dfe59
3,17,code,4,1fe401316f6a7998a303594baeeaad807a880b8b764c3127b419454970fc8428,f6dde2ca38b95cc7a3d68ff1034af5e50d770fe1449775aa5ad1b20318f81a6d
3,17,code,5,f240bf220632e64e07c88a1c494f00e4d5d4d80cacc604cdeba64375760a89eb,aee0ce57d94f68d7a74376135a276eacb002080f447f091a7419d1b5396a58f8
3,17,code,6,0fafc1cf412c4e4ef7583a73f0c0acad13bbd4070f496e10f948d7013ae6ba89,1de9e985ddeea975c6c3439cd6f47f833072f2ceb23b1cbc7ba65472787d3118
3,17,code,7,d442b1badcc26a2f9fec830553784431bff6a3c4e0c9a257f5dc0d4703207eb4,5f7f2578cba091c5d4bbffacee81a8f9d6c18b5537bf610d28535ca27f091523
3,17,code,8,d0001b83ea3c9e773b836c86688d1fe14b02516ca575240e19236c6fee50bdda,897b36b83f02505a473ae49170cb9cbb4957c55dcbc7e6e040dd10d75b9c3da3
3,17,code,9,8098c25e36b0a3ed3f87b8b632b00c748a43b1fc96fc3a18b4fc1e044502ebe3,48c03c29734f5ff51948fd939a15d23f75a0f1a81bbb61443148592df845238d
3,17,code,10,3b377cea7e8dce9ba9c70818db7de4496be6e841f4a615d59728adbce0fcacd9,17a8e219c13c75715a61bcc1b62e2fd2a67a96bea2c5ada51abef060b8c31607
3,17,code,11,84a4bb07ace6eaef8e1f46d7a0318ef6ed0f762f7792a10faf0fc050e6814764,718bc30ed8730b81291d0f3d89f0156120a6c151e6e75b4861c5618209cb4302
3,17,code,12,e2a8d121f6e2b7d5f96d05810cfd457b223dfb509607bc6a5f84bf0c441295a5,9adaf0ed170fa424f8e17dbe5a8aa1d48cce9eaa36b12fc1090c899d5d26ed5e
3,17,code,13,c52fa9bd22cd9c6672e4f74761545ef979113304cecc9a1ec7ad4a2e1ee1e436,537f91c3effdd9fce42b2a199e1eef124b60504584763545fc56266324c5d3bc
3,17,code,14,0e04e3ad00824b4d3f6ff5f3cb5f1bc6fe5539e7e94ea6bd6e0c8153626ffa3a,42c0f6f2926c7143760db194c0ac168aeafb29330075c09a6471fd454ddb452f
3,17,code,15,bdea4bc3a2cdc64b36a0006bc0bd4ec385d6e0fb4e868a919a47b5533d8b04e2,168634a764966cdeb25cfae7c2185708d1bd661cb697aa3e948f02970d5f3c31
3,17,code,16,c1b1d8a98b7b1df8bf8650111ffd9b8096a2ede34fd26836c647d7875a32111c,f65cba2bb232aa6d4ff6327cf5b2f7612e2a69480ced413cc3b9bd105bd9636d
3,17,code,17,b16f9f925c8f0f10c88bc269818b43d125b7b579e938414872577563e6d0f6a6,c5b4594f1091f3b05556ac17325de9fc43ca90998f54e637e7d759cca4cca1bc
3,17,code,18,33f26a22c6a6457efa97d7b76206b045f6181bec63329e0d93520d6a5254fe94,a2579d915287dc3189817ebdefd86be8c1922f230394ed7c172a14105dd8beb7
3,17,code,19,dfe3450ca8d88656326e36a64b3e66eeab66fbad5d3c08b2e83e66a1bee01ad8,865ef11db4ff77ee2224874897cbf056078b34bddcc88becb055252ac84d4765
3,17,code,20,0db13dbb56ccb3ff21dd6d4d93affdfa6397a86e200e5cebbe25dfc7e94d89fb,faa7a8ee49d70350e398b714de9d99e181c3826ac4275c5dad25c2f2864424ff
3,17,code,21,41290db4e9bcb788126c1832df416cf82f9659c00f573243136ecfc67a089db3,3b4ed8a1c52d21987cbfaed00f5ca33058700e77674656e46e58877a79aaf626
3,17,code,22,52ff611503ea6f6be6aace1714347999238e7603a9f30e600b9f7fb044980d32,a3fd7701f90991390a31f654c33dfd35f16c2e554a50e61cad2db8a7f5331317
3,17,code,23,905201cf4c674ab7bd57d694ccf863fabbc634d13dac6fa56d462d1a98d190b0,de677b4c98f75906766cb2a77d9698346513e1bac2ebcaf81f1bc93d01adbda1
3,17,code,24,5c73516527b9096b9493533da7c7a486d5425aac90c177ae344fcf765767fddd,eba1fd8ec1f14a48456d91a8031f67c333d69d1e0120e223c5643d034aca5c2f
3,17,code,25,b5ec9dc9e4d512277d909e4dabe349394facad914583e38e6aeead774077b3e8,350922312be1885218cf0329c2718eaae3f0aba820e27a25c53a08fc0b0cf340
3,17,code,26,e7a4e85518834435322ca2080ba9b003ffa07819685aae60d875273f14b60aff,fd465de4ccf124d84aedf87ed748f81c32da4376dfb306a8d5a92991813db082
3,17,code,27,acc3c3d9534273a7dfa53fb73516942816b780cf3e37f7516d234db7c18d33d3,e906f1cd6d2ee29705801366f783c105cbe5834b7910342312d16afb740c58b4
3,17,code,28,2d964c57e16c8b45925020a01b71a3423d119d5c28017e2e2429c19f189a9b87,be974bcd4967c73a22ef98ea71e2b00188d99211912c019340785ccbfe9ecbd0
3,17,code,29,b466bd9eb396edbf664d0fc59c7b5bad4033f9a5c28b223184a89f2c1d5e8ae3,61200028487ec29adeefbf7cde0fd2e1720e686e03c14fc5a6d3d3282d17fe08
3,17,code,30,47863a612c8dab7f2ad1ad4a45cb0e2cd3daf858b0f532f702fad8362a27d05e,7efa1f7f875553d5baa7174008b38f51894fad1656aa41082c8e3ebd48fe22e7
3,17,code,31,9b5c37c7068c49bfd9875c3c3ab4802abdb21779f039e1539e48b123937899b4,14ae612aaf43818ef7f4d2b419cb0d7ec004e67410b0829bc86e37c497b2a72b
4,29,code,0,0db13dbb56ccb3ff21dd6d4d93affdfa6397a86e200e5cebbe25dfc7e94d89fb,faa7a8ee49d70350e398b714de9d99e181c3826ac4275c5dad25c2f2864424ff
4,29,code,1,33f26a22c6a6457efa97d7b76206b045f6181bec63329e0d93520d6a5254fe94,a2579d915287dc3189817ebdefd86be8c1922f230394ed7c172a14105dd8beb7
4,29,code,2,f240bf220632e64e07c88a1c494f00e4d5d4d80cacc604cdeba64375760a89eb,aee0ce57d94f68d7a74376135a276eacb002080f447f091a7419d1b5396a58f8
4,29,code,3,d442b1badcc26a2f9fec830553784431bff6a3c4e0c9a257f5dc0d4703207eb4,5f7f2578cba091c5d4bbffacee81a8f9d6c18b5537bf610d28535ca27f091523
4,29,code,4,b466bd9eb396edbf664d0fc59c7b5bad4033f9a5c28b223184a89f2c1d5e8ae3,61200028487ec29adeefbf7cde0fd2e1720e686e03c14fc5a6d3d3282d17fe08
4,29,code,5,9b5c37c7068c49bfd9875c3c3ab4802abdb21779f039e1539e48b123937899b4,14ae612aaf43818ef7f4d2b419cb0d7ec004e67410b0829bc86e37c497b2a72b
4,29,code,6,41290db4e9bcb788126c1832df416cf82f9659c00f573243136ecfc67a089db3,3b4ed8a1c52d21987cbfaed00f5ca33058700e77674656e46e58877a79aaf626
4,29,code,7,d0001b83ea3c9e773b836c86688d1fe14b02516ca575240e19236c6fee50bdda,897b36b83f02505a473ae49170cb9cbb4957c55dcbc7e6e040dd10d75b9c3da3
4,29,code,8,acc3c3d9534273a7dfa53fb73516942816b780cf3e37f7516d234db7c18d33d3,e906f1cd6d2ee29705801366f783c105cbe5834b7910342312d16afb740c58b4
4,29,code,9,e2a8d121f6e2b7d5f96d05810cfd457b223dfb509607bc6a5f84bf0c441295a5,9adaf0ed170fa424f8e17dbe5a8aa1d48cce9eaa36b12fc1090c899d5d26ed5e
4,29,code,10,c52fa9bd22cd9c6672e4f74761545ef979113304cecc9a1ec7ad4a2e1ee1e436,537f91c3effdd9fce42b2a199e1eef124b60504584763545fc56266324c5d3bc
4,29,code,11,5c73516527b9096b9493533da7c7a486d5425aac90c177ae344fcf765767fddd,eba1fd8ec1f14a48456d91a8031f67c333d69d1e0120e223c5643d034aca5c2f
4,29,code,12,bdea4bc3a2cdc64b36a0006bc0bd4ec385d6e0fb4e868a919a47b5533d8b04e2,168634a764966cdeb25cfae7c2185708d1bd661cb697aa3e948f02970d5f3c31
4,29,code,13,8098c25e36b0a3ed3f87b8b632b00c748a43b1fc96fc3a18b4fc1e044502ebe3,48c03c29734f5ff51948fd939a15d23f75a0f1a81bbb61443148592df845238d
4,29,code,14,dfe3450ca8d88656326e36a64b3e66eeab66fbad5d3c08b2e83e66a1bee01ad8,865ef11db4ff77ee2224874897cbf056078b34bddcc88becb055252ac84d4765
4,29,code,15,905201cf4c674ab7bd57d694ccf863fabbc634d13dac6fa56d462d1a98d190b0,de677b4c98f75906766cb2a77d9698346513e1bac2ebcaf81f1bc93d01adbda1
